#longitude	latitude	city
-118.250000	34.050000	68
-118.180000	33.770000	67
-117.170000	32.700000	118
-115.550000	32.630000	35
-115.200000	36.170000	62
-119.820000	39.500000	109
-121.730000	42.170000	60
-123.080000	44.050000	37
-122.680000	45.520000	103
-117.430000	47.670000	129
-117.030000	46.400000	63
-117.830000	44.780000	7
-116.220000	43.600000	13
-112.080000	38.770000	110
-111.680000	35.220000	39
-112.070000	33.480000	99
-106.480000	31.770000	36
-104.250000	32.430000	17
-106.650000	35.080000	2
-105.950000	35.680000	123
-101.830000	35.180000	3
-97.320000	32.720000	40
-96.770000	32.770000	27
-93.700000	32.470000	126
-95.350000	29.750000	50
-97.730000	30.270000	6
-98.550000	29.380000	117
-97.866670	22.250000	135
-96.150000	19.183330	143
-98.266670	19.050000	105
-99.133330	19.433330	74
-99.883330	16.866670	0
-92.266670	14.900000	136
-91.566670	14.833330	107
-90.533300	14.833330	45
-89.183330	13.683330	122
-88.766670	17.250000	8
-89.616667	20.966670	73
-81.800000	24.550000	58
-66.170000	18.500000	121
-80.200000	25.770000	75
-82.450000	27.950000	134
-81.300000	28.416667	96
-81.670000	30.370000	55
-84.380000	33.750000	5
-81.080000	32.080000	124
-79.930000	32.780000	18
-81.030000	34.000000	25
-80.830000	35.230000	20
-83.930000	35.950000	61
-86.780000	36.170000	85
-86.830000	33.500000	11
-86.300000	32.350000	79
-88.050000	30.700000	78
-90.070000	29.950000	90
-90.200000	32.330000	54
-90.050000	35.150000	71
-92.333330	34.733300	64
-93.050000	34.520000	49
-93.280000	37.220000	132
-95.980000	36.150000	141
-97.470000	35.430000	94
-97.280000	37.720000	147
-94.580000	39.100000	57
-96.670000	40.830000	65
-95.930000	41.250000	95
-93.620000	41.580000	29
-90.670000	42.520000	31
-89.589000	40.693600	81
-89.630000	39.800000	130
-90.183300	38.633300	53
-90.200000	38.580000	115
-90.217900	38.009500	72
-86.170000	39.770000	52
-85.770000	38.250000	69
-84.500000	39.130000	23
-83.020000	40.000000	26
-85.133330	41.083330	41
-83.550000	41.650000	139
-81.620000	41.470000	24
-79.950000	40.450000	101
-81.630000	38.350000	19
-79.950000	37.280000	112
-78.650000	35.770000	108
-77.950000	34.230000	148
-75.970000	36.850000	145
-77.480000	37.550000	111
-77.030000	38.880000	146
-76.630000	39.300000	9
-75.170000	39.950000	98
-74.170000	40.730000	87
-73.970000	40.780000	91
-76.130000	43.030000	133
-73.750000	42.670000	1
-72.570000	42.100000	131
-72.920000	41.320000	89
-71.400000	41.830000	104
-71.080000	42.350000	14
-71.500000	43.000000	70
-72.530000	44.250000	80
-70.250000	43.670000	102
-68.780000	44.800000	10
-67.000000	44.900000	33
-66.170000	45.300000	114
-71.180000	46.820000	106
-73.580000	45.500000	83
-75.720000	45.400000	97
-76.500000	44.250000	59
-78.830000	42.920000	15
-79.400000	43.670000	140
-81.570000	43.030000	66
-83.050000	42.330000	30
-85.670000	42.970000	44
-87.620000	41.830000	22
-87.920000	43.030000	76
-89.771000	43.627500	82
-89.630100	44.959100	88
-89.250000	48.383330	137
-90.466667	49.050000	138
-92.080000	46.820000	32
-93.230000	44.980000	77
-96.730000	43.550000	127
-96.800000	46.870000	38
-97.120000	49.900000	149
-105.520000	50.620000	84
-100.780000	46.800000	12
-100.350000	44.370000	100
-104.870000	41.150000	21
-105.000000	39.750000	28
-108.550000	39.080000	43
-111.900000	40.770000	116
-112.020000	43.500000	51
-112.030000	46.580000	47
-109.720000	48.550000	46
-113.470000	53.570000	34
-114.020000	51.020000	16
-117.280000	49.500000	86
-122.330000	47.620000	125
-123.350000	48.420000	144
-123.100000	49.220000	142
-135.250000	57.170000	128
-134.400000	58.300000	56
-149.900000	61.220000	4
-165.500000	64.420000	92
-157.830000	21.300000	48
-122.430000	37.780000	119
-122.270000	37.800000	93
-121.500000	38.580000	113
-121.880000	37.330000	120
-119.800000	36.730000	42
